/	物理	风	岩	火	水	雷	冰	草	对应属性	种类
普通丘丘人	10	10	10	10	10	10	10	10		
史莱姆	10	10	10	10	10	10	10	10	10000	火水冰雷风岩草
飞萤	-50	10	10	10	10	10	10	10	50	雷水冰
丘丘萨满	10	10	10	10	10	10	10	10	50	冰水风岩雷草
丘丘暴徒	30	10	10	10	10	10	10	10		
丘丘王	50	10	10	10	10	10	10	10	70	冰岩雷
深渊法师/使徒	10	10	10	10	10	10	10	10		
盗宝团	-20	10	10	10	10	10	10	10		
愚人众（无盾）	-20	10	10	10	10	10	10	10		
愚人众（有盾）	80	110	110	110	110	110	110	110		
萤雾术士	-20	10	10	10	10	10	10	10	50	雷冰
债务处理人	10	10	10	10	10	10	10	10	50	火
骗骗花（正常）	35	35	35	35	35	35	35	35	75	火冰雷
骗骗花（眩晕）	10	10	10	10	10	10	10	10	50	火冰雷
遗迹守卫/重机	70	10	10	10	10	10	10	10		
遗迹猎者	50	10	10	10	10	10	10	10		
幼岩龙蜥/岩龙蜥	30	10	50	10	10	10	10	10		
岩龙蜥（变身后）	30	10	50	10	10	10	10	10	30	冰火水雷
狂风之核	10	10000	10	10	10	10	10	10		
大野猪王	50	10	10	10	10	10	30	10		
无相系列	10	10	10	10	10	10	10	10	10000	风雷岩水火冰
纯水精灵本体	10	10	10	10	10000	10	10	10		
纯水雀/蛙	15	15	-40	15	10000	15	15	15		
纯水猪/鼠	15	15	15	-40	10000	15	15	15		
纯水鹰/鹤	15	15	15	15	10000	-40	15	15		
纯水蟹/鸭	15	15	15	15	10000	15	-40	15		
古树（未破盾）	130	110	110	110	110	110	110	110	170	冰火
古树（眩晕）	30	10	10	10	10	10	10	10	70	冰火
古岩龙蜥（保护期）	230	210	250	210	210	210	210	210		
古岩龙蜥（正常）	30	10	50	10	10	10	10	10		
古岩龙蜥（反伤后）	-20	-40	0	-40	-40	-40	-40	-40		
风魔龙	10	10	10	10	10	10	10	10		
北风狼	10	10000	10	10	10	10	10000	10		
